"HGCN"	"ensembl"
"AGK"	"ENSG00000006530"
"ALDH3B1"	"ENSG00000006534"
"TTC22"	"ENSG00000006555"
"PHTF2"	"ENSG00000006576"
"FARP2"	"ENSG00000006607"
"GGCT"	"ENSG00000006625"
"DBF4"	"ENSG00000006634"
"TBXA2R"	"ENSG00000006638"
"IFRD1"	"ENSG00000006652"
"LGALS14"	"ENSG00000006659"
"COX10"	"ENSG00000006695"
"GTF2IRD1"	"ENSG00000006704"
"PAF1"	"ENSG00000006712"
"VPS41"	"ENSG00000006715"
"ARHGAP44"	"ENSG00000006740"
"ELAC2"	"ENSG00000006744"
"SCIN"	"ENSG00000006747"
"ARSD"	"ENSG00000006756"
"PNPLA4"	"ENSG00000006757"
"MYH13"	"ENSG00000006788"
"ADIPOR2"	"ENSG00000006831"
"CDKL3"	"ENSG00000006837"
"UPP2"	"ENSG00000007001"
"PRSS21"	"ENSG00000007038"
"MARK4"	"ENSG00000007047"
"PROM1"	"ENSG00000007062"
"CCDC124"	"ENSG00000007080"
"CEACAM21"	"ENSG00000007129"
"PAFAH1B1"	"ENSG00000007168"
"DNAH9"	"ENSG00000007174"
"KIAA0100"	"ENSG00000007202"
"GAS7"	"ENSG00000007237"
"TRAPPC6A"	"ENSG00000007255"
"MATK"	"ENSG00000007264"
"CD79B"	"ENSG00000007312"
"ST7L"	"ENSG00000007341"
"PAX6"	"ENSG00000007372"
"RPUSD1"	"ENSG00000007376"
"RHBDF1"	"ENSG00000007384"
"LUC7L"	"ENSG00000007392"
"CACNA2D2"	"ENSG00000007402"
"TSR3"	"ENSG00000007520"
"PIGQ"	"ENSG00000007541"
"CRAMP1"	"ENSG00000007545"
"TEAD3"	"ENSG00000007866"
"DNAJC11"	"ENSG00000007923"
"FMO3"	"ENSG00000007933"
"MYLIP"	"ENSG00000007944"
"E2F2"	"ENSG00000007968"
"PSMB1"	"ENSG00000008018"
"JARID2"	"ENSG00000008083"
"CDKL5"	"ENSG00000008086"
"CAMK1G"	"ENSG00000008118"
"CDK11A"	"ENSG00000008128"
"NADK"	"ENSG00000008130"
"DLEC1"	"ENSG00000008226"
"CYTH3"	"ENSG00000008256"
"ADAM22"	"ENSG00000008277"
"SYPL1"	"ENSG00000008282"
"CYB561"	"ENSG00000008283"
"SPAG9"	"ENSG00000008294"
"AASS"	"ENSG00000008311"
"PLEKHG6"	"ENSG00000008323"
"SS18L2"	"ENSG00000008324"
"MPND"	"ENSG00000008382"
"MGST1"	"ENSG00000008394"
"CRY1"	"ENSG00000008405"
"NFIX"	"ENSG00000008441"
"ST3GAL1"	"ENSG00000008513"
"IL32"	"ENSG00000008517"
"PKD1"	"ENSG00000008710"
"MAPK8IP2"	"ENSG00000008735"
"MED24"	"ENSG00000008838"
"RHOBTB2"	"ENSG00000008853"
"HEATR5B"	"ENSG00000008869"
"SEC62"	"ENSG00000008952"
"RPS20"	"ENSG00000008988"
"CSDE1"	"ENSG00000009307"
"UBE3C"	"ENSG00000009335"
"REV3L"	"ENSG00000009413"
"TENM1"	"ENSG00000009694"
"MASP2"	"ENSG00000009724"
"IYD"	"ENSG00000009765"
"FAM76A"	"ENSG00000009780"
"TRAF3IP3"	"ENSG00000009790"
"POMT2"	"ENSG00000009830"
"VTA1"	"ENSG00000009844"
"MLXIPL"	"ENSG00000009950"
"BAZ1B"	"ENSG00000009954"
"RANBP9"	"ENSG00000010017"
"ETV7"	"ENSG00000010030"
"SPRTN"	"ENSG00000010072"
"EEF1AKNMT"	"ENSG00000010165"
"DYRK4"	"ENSG00000010219"
"ZNF207"	"ENSG00000010244"
"UQCRC1"	"ENSG00000010256"
"STARD3NL"	"ENSG00000010270"
"CD9"	"ENSG00000010278"
"NCAPD2"	"ENSG00000010292"
"IFFO1"	"ENSG00000010295"
"GIPR"	"ENSG00000010310"
"PHF7"	"ENSG00000010318"
"NISCH"	"ENSG00000010322"
"STAB1"	"ENSG00000010327"
"FUZ"	"ENSG00000010361"
"IDS"	"ENSG00000010404"
"ZNF200"	"ENSG00000010539"
"CD4"	"ENSG00000010610"
"LRRC23"	"ENSG00000010626"
"BTK"	"ENSG00000010671"
"HFE"	"ENSG00000010704"
"SCMH1"	"ENSG00000010803"
"FYN"	"ENSG00000010810"
"HIVEP2"	"ENSG00000010818"
"FMO1"	"ENSG00000010932"
"ELOA"	"ENSG00000011007"
"LYPLA2"	"ENSG00000011009"
"CLCN6"	"ENSG00000011021"
"MRC2"	"ENSG00000011028"
"NME1-NME2"	"ENSG00000011052"
"BTBD7"	"ENSG00000011114"
"APBA3"	"ENSG00000011132"
"MKS1"	"ENSG00000011143"
"ABHD5"	"ENSG00000011198"
"AKAP8L"	"ENSG00000011243"
"MBTD1"	"ENSG00000011258"
"UTP18"	"ENSG00000011260"
"RNF216"	"ENSG00000011275"
"TTC19"	"ENSG00000011295"
"PTBP1"	"ENSG00000011304"
"DPF1"	"ENSG00000011332"
"LARS2"	"ENSG00000011376"
"PIK3C2A"	"ENSG00000011405"
"PLAUR"	"ENSG00000011422"
"ANLN"	"ENSG00000011426"
"WIZ"	"ENSG00000011451"
"RABGAP1"	"ENSG00000011454"
"DCN"	"ENSG00000011465"
"QPCTL"	"ENSG00000011478"
"PPP5C"	"ENSG00000011485"
"CEP68"	"ENSG00000011523"
"MAP4K3"	"ENSG00000011566"
"TYROBP"	"ENSG00000011600"
"TMEM159"	"ENSG00000011638"
"BRCA1"	"ENSG00000012048"
"ERCC1"	"ENSG00000012061"
"CD22"	"ENSG00000012124"
"SEMA3B"	"ENSG00000012171"
"MBTPS2"	"ENSG00000012174"
"PRICKLE3"	"ENSG00000012211"
"LTF"	"ENSG00000012223"
"EXTL3"	"ENSG00000012232"
"NR1H4"	"ENSG00000012504"
"ELOVL5"	"ENSG00000012660"
"ALOX5"	"ENSG00000012779"
"KDM5D"	"ENSG00000012817"
"CALCOCO1"	"ENSG00000012822"
"UBR7"	"ENSG00000012963"
"MAP4K5"	"ENSG00000012983"
"EHD3"	"ENSG00000013016"
"PSMC4"	"ENSG00000013275"
"MAN2B2"	"ENSG00000013288"
"SLC7A14"	"ENSG00000013293"
"CLDN11"	"ENSG00000013297"
"SLC25A39"	"ENSG00000013306"
"MVP"	"ENSG00000013364"
"NUB1"	"ENSG00000013374"
"PGM3"	"ENSG00000013375"
"RWDD2A"	"ENSG00000013392"
"CLK1"	"ENSG00000013441"
"POLR3B"	"ENSG00000013503"
"ANGEL1"	"ENSG00000013523"
"RNF14"	"ENSG00000013561"
"DNASE1L1"	"ENSG00000013563"
"DDX11"	"ENSG00000013573"
"HEBP1"	"ENSG00000013583"
"GPRC5A"	"ENSG00000013588"
"MAMLD1"	"ENSG00000013619"
"CD6"	"ENSG00000013725"
"TACC3"	"ENSG00000013810"
"UFL1"	"ENSG00000014123"
"POLA2"	"ENSG00000014138"
"ZC3H3"	"ENSG00000014164"
"CAPN1"	"ENSG00000014216"
"ACP3"	"ENSG00000014257"
"MDH1"	"ENSG00000014641"
"SLC30A9"	"ENSG00000014824"
"MTMR11"	"ENSG00000014914"
"COX15"	"ENSG00000014919"
"CCDC88C"	"ENSG00000015133"
"YAF2"	"ENSG00000015153"
"ZMYND11"	"ENSG00000015171"
"WAS"	"ENSG00000015285"
"BID"	"ENSG00000015475"
"MATR3"	"ENSG00000015479"
"NPC1L1"	"ENSG00000015520"
"XYLT2"	"ENSG00000015532"
"RGPD5"	"ENSG00000015568"
"STMN4"	"ENSG00000015592"
"NUDCD3"	"ENSG00000015676"
"CHDH"	"ENSG00000016391"
"GLT8D1"	"ENSG00000016864"
"ATP2C1"	"ENSG00000017260"
"IGF1"	"ENSG00000017427"
"SLC38A5"	"ENSG00000017483"
"RALBP1"	"ENSG00000017797"
"RUFY3"	"ENSG00000018189"
"CNTN1"	"ENSG00000018236"
"SLC11A1"	"ENSG00000018280"
"WWTR1"	"ENSG00000018408"
"AGPS"	"ENSG00000018510"
"STEEP1"	"ENSG00000018610"
"ATP1A2"	"ENSG00000018625"
"TTC27"	"ENSG00000018699"
"ZNF582"	"ENSG00000018869"
"VSIG2"	"ENSG00000019102"
"PHLDB1"	"ENSG00000019144"
"PRDM11"	"ENSG00000019485"
"SYT13"	"ENSG00000019505"
"SNAI2"	"ENSG00000019549"
"CD74"	"ENSG00000019582"
"HGF"	"ENSG00000019991"
"ZRANB1"	"ENSG00000019995"
"NCDN"	"ENSG00000020129"
"ZFP64"	"ENSG00000020256"
"MNAT1"	"ENSG00000020426"
"SAMD4A"	"ENSG00000020577"
"RUNX3"	"ENSG00000020633"
"MRE11"	"ENSG00000020922"
"PLEKHB1"	"ENSG00000021300"
"SERPINB1"	"ENSG00000021355"
"CYP3A43"	"ENSG00000021461"
"SLC7A9"	"ENSG00000021488"
"SPAST"	"ENSG00000021574"
"NRXN3"	"ENSG00000021645"
"AQR"	"ENSG00000021776"
"CPS1"	"ENSG00000021826"
"FHL1"	"ENSG00000022267"
"RTF2"	"ENSG00000022277"
"GABRA1"	"ENSG00000022355"
"NLRP2"	"ENSG00000022556"
"SLC45A4"	"ENSG00000022567"
"RNF10"	"ENSG00000022840"
"ZNF839"	"ENSG00000022976"
"ZDHHC6"	"ENSG00000023041"
"GRAMD1B"	"ENSG00000023171"
"RNH1"	"ENSG00000023191"
"NDUFS1"	"ENSG00000023228"
"RB1CC1"	"ENSG00000023287"
"ERP44"	"ENSG00000023318"
"ALAS1"	"ENSG00000023330"
"BIRC3"	"ENSG00000023445"
"AKAP11"	"ENSG00000023516"
"GLRX2"	"ENSG00000023572"
"SNAPC1"	"ENSG00000023608"
"DERA"	"ENSG00000023697"
"STRAP"	"ENSG00000023734"
"ABCC2"	"ENSG00000023839"
"DEF6"	"ENSG00000023892"
"PLEKHO1"	"ENSG00000023902"
"GCLM"	"ENSG00000023909"
"UBR2"	"ENSG00000024048"
"EHD2"	"ENSG00000024422"
"DEPDC1"	"ENSG00000024526"
"CCDC28A"	"ENSG00000024862"
"RRAGD"	"ENSG00000025039"
"HSF2"	"ENSG00000025156"
"PHF20"	"ENSG00000025293"
"NR1H3"	"ENSG00000025434"
"TYMP"	"ENSG00000025708"
"NCAPH2"	"ENSG00000025770"
"TOMM34"	"ENSG00000025772"
"SEC63"	"ENSG00000025796"
"KPNA6"	"ENSG00000025800"
"VIM"	"ENSG00000026025"
"FAS"	"ENSG00000026103"
"RNASET2"	"ENSG00000026297"
"CD44"	"ENSG00000026508"
"KCNG1"	"ENSG00000026559"
"AGPAT4"	"ENSG00000026652"
"SLAMF7"	"ENSG00000026751"
"BTN3A1"	"ENSG00000026950"
"MIPEP"	"ENSG00000027001"
"PRKCH"	"ENSG00000027075"
"IFNGR1"	"ENSG00000027697"
"B4GALT7"	"ENSG00000027847"
"SH2D2A"	"ENSG00000027869"
"VRK2"	"ENSG00000028116"
"TNFRSF1B"	"ENSG00000028137"
"VEZT"	"ENSG00000028203"
"POU2F2"	"ENSG00000028277"
"BRD9"	"ENSG00000028310"
"SNX1"	"ENSG00000028528"
"TBPL1"	"ENSG00000028839"
"ARNTL2"	"ENSG00000029153"
"BCLAF1"	"ENSG00000029363"
"SLC39A9"	"ENSG00000029364"
"ANK1"	"ENSG00000029534"
"TFB1M"	"ENSG00000029639"
"RABEP1"	"ENSG00000029725"
"HMGB3"	"ENSG00000029993"
"NUP160"	"ENSG00000030066"
"BAK1"	"ENSG00000030110"
"MUSK"	"ENSG00000030304"
"IKZF2"	"ENSG00000030419"
"GRN"	"ENSG00000030582"
"FAM13B"	"ENSG00000031003"
"ARHGAP31"	"ENSG00000031081"
"CENPQ"	"ENSG00000031691"
"SARS1"	"ENSG00000031698"
"RANBP3"	"ENSG00000031823"
"ARID4A"	"ENSG00000032219"
"EIPR1"	"ENSG00000032389"
"PNPLA6"	"ENSG00000032444"
"IFT88"	"ENSG00000032742"
"ALG1"	"ENSG00000033011"
"ZCCHC8"	"ENSG00000033030"
"ABCF2"	"ENSG00000033050"
"CHPF2"	"ENSG00000033100"
"LRRC7"	"ENSG00000033122"
"FUT8"	"ENSG00000033170"
"UBA6"	"ENSG00000033178"
"GAB2"	"ENSG00000033327"
"ATP6V0A1"	"ENSG00000033627"
"PIAS1"	"ENSG00000033800"
"SLC4A7"	"ENSG00000033867"
"APBA2"	"ENSG00000034053"
"MAP2K3"	"ENSG00000034152"
"TMSB10"	"ENSG00000034510"
"ASTE1"	"ENSG00000034533"
"RNF19A"	"ENSG00000034677"
"PEX3"	"ENSG00000034693"
"GABARAPL2"	"ENSG00000034713"
"SH3YL1"	"ENSG00000035115"
"FAM136A"	"ENSG00000035141"
"VCL"	"ENSG00000035403"
"DEPDC1B"	"ENSG00000035499"
"DAPK2"	"ENSG00000035664"
"NSMAF"	"ENSG00000035681"
"ADSS2"	"ENSG00000035687"
"STAP1"	"ENSG00000035720"
"TIMP2"	"ENSG00000035862"
"RFC1"	"ENSG00000035928"
"TBC1D23"	"ENSG00000036054"
"CUL3"	"ENSG00000036257"
"MYOM2"	"ENSG00000036448"
"CYP46A1"	"ENSG00000036530"
"ZZZ3"	"ENSG00000036549"
"SLC18A1"	"ENSG00000036565"
"USP2"	"ENSG00000036672"
"CASR"	"ENSG00000036828"
"TUBG2"	"ENSG00000037042"
"RPL26L1"	"ENSG00000037241"
"FLT4"	"ENSG00000037280"
"NSUN2"	"ENSG00000037474"
"FBXO42"	"ENSG00000037637"
"MFAP3"	"ENSG00000037749"
"MRI1"	"ENSG00000037757"
"METTL1"	"ENSG00000037897"
"AGA"	"ENSG00000038002"
"PI4K2B"	"ENSG00000038210"
"BOD1L1"	"ENSG00000038219"
"MAT2B"	"ENSG00000038274"
"EDC4"	"ENSG00000038358"
"TRIO"	"ENSG00000038382"
"VCAN"	"ENSG00000038427"
"CLEC16A"	"ENSG00000038532"
"MSR1"	"ENSG00000038945"
"CDH1"	"ENSG00000039068"
"MTREX"	"ENSG00000039123"
"DNAH5"	"ENSG00000039139"
"ZFYVE16"	"ENSG00000039319"
"RIPOR1"	"ENSG00000039523"
"RAI14"	"ENSG00000039560"
"PNKP"	"ENSG00000039650"
"BEST2"	"ENSG00000039987"
"PHLPP2"	"ENSG00000040199"
"SPDL1"	"ENSG00000040275"
"STAU2"	"ENSG00000040341"
"SLC66A1"	"ENSG00000040487"
"CTNS"	"ENSG00000040531"
"PHF23"	"ENSG00000040633"
"CDH10"	"ENSG00000040731"
"INPP4A"	"ENSG00000040933"
"RAB27B"	"ENSG00000041353"
"PSMA4"	"ENSG00000041357"
"MYO16"	"ENSG00000041515"
"LSG1"	"ENSG00000041802"
"PARP3"	"ENSG00000041880"
"TNC"	"ENSG00000041982"
"THAP3"	"ENSG00000041988"
"RIPOR3"	"ENSG00000042062"
"TDP1"	"ENSG00000042088"
"AIFM2"	"ENSG00000042286"
"C2orf83"	"ENSG00000042304"
"SPATA7"	"ENSG00000042317"
"MED17"	"ENSG00000042429"
"RETSAT"	"ENSG00000042445"
"CAPG"	"ENSG00000042493"
"AP2S1"	"ENSG00000042753"
"TG"	"ENSG00000042832"
"ADAM28"	"ENSG00000042980"
"BARX2"	"ENSG00000043039"
"DCUN1D1"	"ENSG00000043093"
"JADE2"	"ENSG00000043143"
"LCP2"	"ENSG00000043462"
"TRIT1"	"ENSG00000043514"
"ADRB1"	"ENSG00000043591"
"CUL7"	"ENSG00000044090"
"CTNNA1"	"ENSG00000044115"
"PHKA2"	"ENSG00000044446"
"CNTLN"	"ENSG00000044459"
"EPHA3"	"ENSG00000044524"
"HSPA5"	"ENSG00000044574"
"DSG2"	"ENSG00000046604"
"GEMIN8"	"ENSG00000046647"
"OFD1"	"ENSG00000046651"
"GPM6B"	"ENSG00000046653"
"PREX2"	"ENSG00000046889"
"WDR37"	"ENSG00000047056"
"YTHDC2"	"ENSG00000047188"
"CTPS2"	"ENSG00000047230"
"ATP6V1H"	"ENSG00000047249"
"POLR2B"	"ENSG00000047315"
"FAM214A"	"ENSG00000047346"
"ARAP2"	"ENSG00000047365"
"TPR"	"ENSG00000047410"
"CP"	"ENSG00000047457"
"KATNIP"	"ENSG00000047578"
"DTNBP1"	"ENSG00000047579"
"XK"	"ENSG00000047597"
"C12orf4"	"ENSG00000047621"
"SCML1"	"ENSG00000047634"
"WWC3"	"ENSG00000047644"
"ARHGAP6"	"ENSG00000047648"
"FAM184B"	"ENSG00000047662"
"MAP4"	"ENSG00000047849"
"GOPC"	"ENSG00000047932"
"USP28"	"ENSG00000048028"
"HDAC9"	"ENSG00000048052"
"TSPAN17"	"ENSG00000048140"
"NOP16"	"ENSG00000048162"
"CC2D2A"	"ENSG00000048342"
"RRM2B"	"ENSG00000048392"
"ZNF800"	"ENSG00000048405"
"TNFRSF17"	"ENSG00000048462"
"SNX29"	"ENSG00000048471"
"LMO3"	"ENSG00000048540"
"MRPS10"	"ENSG00000048544"
"RSF1"	"ENSG00000048649"
"VPS13D"	"ENSG00000048707"
"CELF2"	"ENSG00000048740"
"FAM120A"	"ENSG00000048828"
"R3HDM1"	"ENSG00000048991"
"COL9A2"	"ENSG00000049089"
"ERCC8"	"ENSG00000049167"
"H6PD"	"ENSG00000049239"
"VAMP3"	"ENSG00000049245"
"PER3"	"ENSG00000049246"
"TNFRSF9"	"ENSG00000049249"
"EPN3"	"ENSG00000049283"
"LTBP1"	"ENSG00000049323"
"RCN1"	"ENSG00000049449"
"ELN"	"ENSG00000049540"
"RFC2"	"ENSG00000049541"
"ARID1B"	"ENSG00000049618"
"CLPTM1L"	"ENSG00000049656"
"NEDD4L"	"ENSG00000049759"
"PPP1R3F"	"ENSG00000049769"
"HEXB"	"ENSG00000049860"
"PTCD2"	"ENSG00000049883"
"NEXMIF"	"ENSG00000050030"
"JKAMP"	"ENSG00000050130"
"NFE2L3"	"ENSG00000050344"
"MCUR1"	"ENSG00000050393"
"LIMA1"	"ENSG00000050405"
"LETMD1"	"ENSG00000050426"
"SLC4A8"	"ENSG00000050438"
"LAMC3"	"ENSG00000050555"
"PTGER3"	"ENSG00000050628"
"TNIP3"	"ENSG00000050730"
"MAPK9"	"ENSG00000050748"
"COL23A1"	"ENSG00000050767"
"FAM160A2"	"ENSG00000051009"
"HERPUD1"	"ENSG00000051108"
"HOMER3"	"ENSG00000051128"
"RAD51"	"ENSG00000051180"
"POLQ"	"ENSG00000051341"
"PIK3CB"	"ENSG00000051382"
"CYBA"	"ENSG00000051523"
"THOC3"	"ENSG00000051596"
"HEBP2"	"ENSG00000051620"
"MPHOSPH9"	"ENSG00000051825"
"PLEKHA5"	"ENSG00000052126"
"PRSS8"	"ENSG00000052344"
"SIKE1"	"ENSG00000052723"
"RRP12"	"ENSG00000052749"
"FNIP2"	"ENSG00000052795"
"MSMO1"	"ENSG00000052802"
"TTC17"	"ENSG00000052841"
"FSTL4"	"ENSG00000053108"
"FOXN3"	"ENSG00000053254"
"AKR7A2"	"ENSG00000053371"
"MRTO4"	"ENSG00000053372"
"NNAT"	"ENSG00000053438"
"USE1"	"ENSG00000053501"
"MCF2L2"	"ENSG00000053524"
"NRIP2"	"ENSG00000053702"
"LAMA3"	"ENSG00000053747"
"AP5M1"	"ENSG00000053770"
"ANAPC4"	"ENSG00000053900"
"KCNQ1"	"ENSG00000053918"
"TRAPPC3"	"ENSG00000054116"
"THRAP3"	"ENSG00000054118"
"PHPT1"	"ENSG00000054148"
"LY75"	"ENSG00000054219"
"ARID4B"	"ENSG00000054267"
"OPN3"	"ENSG00000054277"
"SDCCAG8"	"ENSG00000054282"
"PTPRN"	"ENSG00000054356"
"HHAT"	"ENSG00000054392"
"KIF1B"	"ENSG00000054523"
"TBC1D22A"	"ENSG00000054611"
"SYNE2"	"ENSG00000054654"
"PLEKHH1"	"ENSG00000054690"
"ATP9A"	"ENSG00000054793"
"FAM168A"	"ENSG00000054965"
"RELT"	"ENSG00000054967"
"GALC"	"ENSG00000054983"
"NOP58"	"ENSG00000055044"
"SZRD1"	"ENSG00000055070"
"KCNH2"	"ENSG00000055118"
"CUL1"	"ENSG00000055130"
"FAM114A2"	"ENSG00000055147"
"CYFIP2"	"ENSG00000055163"
"TAB2"	"ENSG00000055208"
"GINM1"	"ENSG00000055211"
"EIF2AK2"	"ENSG00000055332"
"USP36"	"ENSG00000055483"
"KMT2C"	"ENSG00000055609"
"MCOLN3"	"ENSG00000055732"
"PUM2"	"ENSG00000055917"
"MRPL43"	"ENSG00000055950"
"ITIH4"	"ENSG00000055955"
"ITIH1"	"ENSG00000055957"
"HPF1"	"ENSG00000056050"
"ZFR"	"ENSG00000056097"
"ZNF280C"	"ENSG00000056277"
"NPFFR2"	"ENSG00000056291"
"TRAF1"	"ENSG00000056558"
"RC3H2"	"ENSG00000056586"
"TRAF3IP2"	"ENSG00000056972"
"GYG2"	"ENSG00000056998"
"DCBLD2"	"ENSG00000057019"
"SOAT1"	"ENSG00000057252"
"PKP2"	"ENSG00000057294"
"GDI2"	"ENSG00000057608"
"PRDM1"	"ENSG00000057657"
"ATG5"	"ENSG00000057663"
"TMCC3"	"ENSG00000057704"
"PITHD1"	"ENSG00000057757"
"MTA3"	"ENSG00000057935"
"USP13"	"ENSG00000058056"
"ATP11B"	"ENSG00000058063"
"LAMC2"	"ENSG00000058085"
"CDK14"	"ENSG00000058091"
"SEC61A1"	"ENSG00000058262"
"PPP1R12A"	"ENSG00000058272"
"RASGRF1"	"ENSG00000058335"
"CAMK2B"	"ENSG00000058404"
"CROCC"	"ENSG00000058453"
"POLR3E"	"ENSG00000058600"
"ATP2B4"	"ENSG00000058668"
"ZC3H11A"	"ENSG00000058673"
"RIOK2"	"ENSG00000058729"
"YIPF1"	"ENSG00000058799"
"NDC1"	"ENSG00000058804"
"DGKG"	"ENSG00000058866"
"FLYWCH1"	"ENSG00000059122"
"UNKL"	"ENSG00000059145"
"TBXAS1"	"ENSG00000059377"
"PARP12"	"ENSG00000059378"
"ALDH18A1"	"ENSG00000059573"
"TARBP1"	"ENSG00000059588"
"GATB"	"ENSG00000059691"
"MXD1"	"ENSG00000059728"
"CDK17"	"ENSG00000059758"
"DNAJC25"	"ENSG00000059769"
"SLC2A3"	"ENSG00000059804"
"CTDP1"	"ENSG00000060069"
"YBX3"	"ENSG00000060138"
"STYK1"	"ENSG00000060140"
"WNK1"	"ENSG00000060237"
"RPS17P5"	"ENSG00000060303"
"CCAR1"	"ENSG00000060339"
"OGFR"	"ENSG00000060491"
"GNA15"	"ENSG00000060558"
"PIGV"	"ENSG00000060642"
"SNRNP40"	"ENSG00000060688"
"QSER1"	"ENSG00000060749"
"MPC1"	"ENSG00000060762"
"ACAA1"	"ENSG00000060971"
"BCAT1"	"ENSG00000060982"
"HDAC7"	"ENSG00000061273"
"LZTS1"	"ENSG00000061337"
"SPAG4"	"ENSG00000061656"
"NCKAP1"	"ENSG00000061676"
"MRPS35"	"ENSG00000061794"
"GUCY1B1"	"ENSG00000061918"
"SFSWAP"	"ENSG00000061936"
"TNK2"	"ENSG00000061938"
"MON2"	"ENSG00000061987"
"CDH3"	"ENSG00000062038"
"ARSF"	"ENSG00000062096"
"GPBP1"	"ENSG00000062194"
"DGAT2"	"ENSG00000062282"
"ZNF112"	"ENSG00000062370"
"CS"	"ENSG00000062485"
